Name,Geographic Level,Income Classification (DOF DO No. 074.2024),2024 Population,Name_Normalized
City of General Trias,City,1st,482453.0,general trias
City of Imus,City,1st,481949.0,imus
Indang,Mun,1st,70092.0,indang
Kawit,Mun,1st,123631.0,kawit
Magallanes,Mun,3rd,25826.0,magallanes
Maragondon,Mun,2nd,41977.0,maragondon
Mendez,Mun,2nd,36518.0,mendez
Naic,Mun,1st,236978.0,naic
Noveleta,Mun,1st,46172.0,noveleta
Rosario,Mun,1st,112572.0,rosario
Silang,Mun,1st,313145.0,silang
City of Tagaytay,City,1st,87811.0,tagaytay
Tanza,Mun,1st,339308.0,tanza
Ternate,Mun,3rd,24891.0,ternate
City of Trece Martires ,City,2nd,227892.0,trece martires
Gen. Mariano Alvarez,Mun,1st,176927.0,gen. mariano alvarez
Alaminos,Mun,1st,53589.0,alaminos
Bay,Mun,1st,69802.0,bay
City of Biñan,City,1st,584479.0,biñan
City of Cabuyao,City,1st,365202.0,cabuyao
City of Calamba,City,1st,575046.0,calamba
Calauan,Mun,1st,89670.0,calauan
Cavinti,Mun,2nd,24740.0,cavinti
Famy,Mun,4th,17668.0,famy
Kalayaan,Mun,3rd,25243.0,kalayaan
Liliw,Mun,3rd,39976.0,liliw
Los Baños,Mun,1st,117030.0,los baños
Luisiana,Mun,4th,21824.0,luisiana
Lumban,Mun,3rd,32793.0,lumban
Mabitac,Mun,4th,21748.0,mabitac
Magdalena,Mun,3rd,28131.0,magdalena
Majayjay,Mun,3rd,28504.0,majayjay
Nagcarlan,Mun,1st,66351.0,nagcarlan
Paete,Mun,4th,25254.0,paete
Pagsanjan,Mun,2nd,45602.0,pagsanjan
Pakil,Mun,3rd,23972.0,pakil
Pangil,Mun,3rd,25318.0,pangil
Pila,Mun,1st,57776.0,pila
Rizal,Mun,4th,18864.0,rizal
City of San Pablo,City,1st,300166.0,san pablo
City of San Pedro,City,1st,348968.0,san pedro
Santa Cruz ,Mun,1st,126844.0,santa cruz
Santa Maria,Mun,2nd,34102.0,santa maria
City of Santa Rosa,City,1st,430920.0,santa rosa
Siniloan,Mun,1st,42533.0,siniloan
Victoria,Mun,2nd,45230.0,victoria
Agdangan,Mun,5th,13316.0,agdangan
Alabat,Mun,4th,15744.0,alabat
Atimonan,Mun,1st,65552.0,atimonan
Buenavista,Mun,2nd,31550.0,buenavista
Burdeos,Mun,3rd,22742.0,burdeos
Calauag,Mun,1st,68999.0,calauag
Candelaria,Mun,1st,137933.0,candelaria
Catanauan,Mun,1st,76250.0,catanauan
Dolores,Mun,3rd,32645.0,dolores
General Luna,Mun,3rd,25110.0,general luna
General Nakar,Mun,1st,34982.0,general nakar
Guinayangan,Mun,1st,45375.0,guinayangan
Gumaca,Mun,1st,72454.0,gumaca
Infanta,Mun,1st,77676.0,infanta
Jomalig,Mun,5th,7884.0,jomalig
Lopez,Mun,1st,96006.0,lopez
Lucban,Mun,1st,54134.0,lucban
Macalelon,Mun,3rd,25266.0,macalelon
Mauban,Mun,1st,70135.0,mauban
Mulanay,Mun,1st,53976.0,mulanay
Padre Burgos,Mun,4th,23392.0,padre burgos
Pagbilao,Mun,1st,82132.0,pagbilao
Panukulan,Mun,3rd,17118.0,panukulan
Patnanungan,Mun,4th,15554.0,patnanungan
Perez,Mun,4th,13052.0,perez
Pitogo,Mun,4th,22499.0,pitogo
Plaridel,Mun,5th,10866.0,plaridel
Polillo,Mun,1st,31737.0,polillo
Quezon,Mun,4th,15869.0,quezon
Real,Mun,1st,39969.0,real
Sampaloc,Mun,4th,13331.0,sampaloc
San Andres,Mun,2nd,38407.0,san andres
San Antonio,Mun,3rd,36451.0,san antonio
San Francisco,Mun,1st,63789.0,san francisco
San Narciso,Mun,1st,53375.0,san narciso
Sariaya,Mun,1st,172018.0,sariaya
Tagkawayan,Mun,1st,54709.0,tagkawayan
City of Tayabas,City,3rd,115318.0,tayabas
Tiaong,Mun,1st,107666.0,tiaong
Unisan,Mun,3rd,25357.0,unisan
Angono,Mun,1st,134975.0,angono
City of Antipolo ,City,1st,913712.0,antipolo
Baras,Mun,1st,91099.0,baras
Binangonan,Mun,1st,321281.0,binangonan
Cainta,Mun,1st,386321.0,cainta
Cardona,Mun,2nd,51493.0,cardona
Jala-Jala,Mun,3rd,34901.0,jala-jala
Rodriguez,Mun,1st,451383.0,rodriguez
Morong,Mun,1st,72262.0,morong
Pililla,Mun,1st,72503.0,pililla
San Mateo,Mun,1st,276449.0,san mateo
Tanay,Mun,1st,145597.0,tanay
Taytay,Mun,1st,397111.0,taytay
Teresa,Mun,1st,67454.0,teresa
City of Lucena ,City,1st,280331.0,lucena
Boac ,Mun,1st,54365.0,boac
Buenavista,Mun,4th,24136.0,buenavista
Gasan,Mun,2nd,35315.0,gasan
Mogpog,Mun,2nd,32577.0,mogpog
Santa Cruz,Mun,1st,51594.0,santa cruz
Torrijos,Mun,2nd,28535.0,torrijos
