NAME_1,NAME_2,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Population_2024,PSGC_Match_Info,Distance_from_Metro Manila_km,No_Work_Count
Kalinga,TabukCity,9948,10525,42,2,1,122771,City of Tabuk ,311.8988817956504,0
Kalinga,Lubuagan,3866,156,54,1,1,8660,Lubuagan,305.90354919750354,0
Kalinga,Tanudan,101777,21847,39,18,3,11103,Tanudan,304.16702758395246,0
Cagayan,Enrile,15246,9620,9,1,1,36481,Enrile,341.0184868009589,0
Kalinga,Rizal,14274,15127,18,20,3,20491,Rizal,334.79740768159326,0
Isabela,Quezon,14458,13837,13,3,2,3084270,Quezon City,315.42441050753547,0
Cagayan,Iguig,64982,65709,25,12,6,31342,Iguig,362.497122461188,0
Cagayan,TuguegaraoCity,201050,185483,22,1,1,167297,Tuguegarao City ,348.4798925045297,0
Cagayan,Peñablanca,161733,332586,10,2,1,50856,Peñablanca,356.0786070281584,0
Isabela,SantaMaria,48983,48056,12,1,1,30076,Santa Maria,330.6051216643353,0
Isabela,SanPablo,46121,45999,12,2,1,300166,City of San Pablo,331.5280616871428,0
Isabela,Cabagan,26874,23716,22,12,5,55445,Cabagan,321.31405708682007,0
Isabela,SantoTomas,60091,37948,12,1,1,42777,Santo Tomas,321.62506876286665,0
Isabela,DelfinAlbano,35448,5482,21,2,2,30860,Delfin Albano,310.8699621829272,0
Isabela,Tumauini,25935,43156,12,1,1,77153,Tumauini,316.99753826735963,0
Isabela,Maconacon,29816,627,28,1,1,4252,Maconacon,336.1961765702643,0
Isabela,Divilacan,14666,3163,27,1,1,5871,Divilacan,332.9889289108036,0
Kalinga,Tinglayan,56129,12247,32,23,2,13311,Tinglayan,295.32273599795326,0
MountainProvince,Sadanga,2790,464,108,1,1,7781,Sadanga,282.43680961858433,0
MountainProvince,Barlig,44131,9845,40,6,2,4363,Barlig,270.83627998574,0
MountainProvince,Natonin,55155,17290,31,1,1,8906,Natonin,279.61326856017246,0
Ifugao,Mayoyao,146335,129478,18,1,1,15525,Mayoyao,264.55149615096656,0
MountainProvince,Paracelis,7127,6312,43,1,1,30143,Paracelis,295.87500004162865,0
Isabela,Mallig,23410,34821,24,27,7,32509,Mallig,295.4144317419271,0
Isabela,Roxas,18998,19170,22,10,5,185236,City of Roxas ,288.3574459375878,0
Ifugao,Aguinaldo,3087,4078,71,2,1,20924,Aguinaldo,272.4220819943636,0
Ifugao,AlfonsoLista,44602,52165,30,1,1,34810,Alfonso Lista,270.16626053865707,0
Isabela,SanManuel,45605,51932,11,4,1,56876,San Manuel,276.96078694855925,0
Isabela,Aurora,17424,13415,10,4,2,37191,Aurora,271.7063467444455,0
Ifugao,Banaue,39327,11603,38,2,2,20143,Banaue,260.220187167616,0
Ifugao,Hingyon,74095,276654,11,9,1,9966,Hingyon,249.72108106912285,0
Ifugao,Lagawe,1427,1732,69,2,2,19124,Lagawe ,246.8914921471299,0
Ifugao,Kiangan,3836,2807,34,1,1,17849,Kiangan,245.05691643130615,0
Ifugao,Asipulo,2513,2159,99,2,1,16088,Asipulo,236.2386821866993,0
Ifugao,Lamut,8126,2255,19,2,1,26520,Lamut,236.7620767067561,0
NuevaVizcaya,Villaverde,3192,4788,6,1,1,21001,Villaverde,226.25561898671404,0
NuevaVizcaya,Bagabag,91499,69635,17,19,10,39138,Bagabag,227.8548656345181,0
Isabela,Ramon,6436,37869,14,6,1,57412,Ramon,251.77672497760065,0
Isabela,SantiagoCity,23950,20156,42,2,2,150313,City of Santiago,248.7364168209485,1
Isabela,SanMateo,15884,24726,20,4,2,67433,San Mateo,266.016067159882,0
Isabela,Cabatuan,10322,17800,21,2,1,40223,Cabatuan,266.416359200507,2
Isabela,Alicia,66622,67808,20,9,2,74699,Alicia,257.3583545765279,0
NuevaVizcaya,Diadi,158773,156977,13,9,4,20438,Diadi,237.96429051341232,0
Isabela,Cordon,14087,14115,22,2,1,46688,Cordon,242.3681353770453,0
Isabela,SanIsidro,56493,53464,11,44,12,4771,San Isidro,248.55452433415604,0
Isabela,Echague,15334,17736,6,3,2,91320,Echague,240.4243329714544,0
Isabela,Quirino,2014,5824,40,1,1,9460,Quirino,296.86442747786305,0
Isabela,Ilagan,36253,52990,14,1,1,164020,City of Ilagan ,300.7198526348326,0
Isabela,Burgos,52619,57095,24,25,3,10962,Burgos,286.9738233518335,0
Isabela,Gamu,125617,83642,16,5,4,30850,Gamu,290.6750543773993,0
Isabela,Luna,28638,28846,23,1,1,21630,Luna,274.15808069589025,0
Isabela,ReinaMercedes,11595,11893,16,1,1,28222,Reina Mercedes,282.5577682201733,0
Isabela,CauayanCity,33837,19523,19,3,1,143539,City of Cauayan,275.38853156656165,0
Isabela,Naguilian,37726,31174,17,7,4,53443,Naguilian,282.50050321158886,0
Isabela,BenitoSoliven,9000,15421,16,2,2,30682,Benito Soliven,286.61666451812545,0
Isabela,SanMariano,9822,11958,13,9,3,61876,San Mariano,285.99324153119403,0
Isabela,Angadanan,8209,9489,10,3,1,45970,Angadanan,258.10284809798685,0
